Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Jugan Defends the Temple,G,M,2098,1.31,1750,1.28,10126,60.4%,1853,71.9%,2965,67.4%,4818,69.1%,5332,52.6%,16.6pp
Fable of the Mirror-Breaker,R,R,5284,1.64,3711,1.59,20148,58.7%,3623,72.7%,5225,63.7%,8848,67.4%,11339,52.0%,15.4pp
The Wandering Emperor,W,M,1902,1.10,1629,1.09,8759,58.7%,1505,66.8%,2422,67.5%,3927,67.2%,4845,51.9%,15.3pp
Inventive Iteration,U,R,5537,1.68,3843,1.64,21006,59.0%,3459,64.6%,6405,66.2%,9864,65.7%,11189,53.1%,12.6pp
Farewell,W,R,5913,1.82,2908,1.80,13579,58.6%,2218,62.4%,3892,67.2%,6110,65.5%,7486,53.1%,12.4pp
Invoke the Ancients,G,R,6950,2.13,3629,2.13,19124,58.5%,3101,64.0%,5057,66.2%,8158,65.4%,11001,53.4%,11.9pp
"Tatsunari, Toad Rider",UBG,R,4594,1.43,3560,1.41,20011,58.5%,3423,66.2%,5532,64.2%,8955,64.9%,11137,53.5%,11.5pp
"Junji, the Midnight Sky",B,M,1835,1.15,1629,1.14,9151,58.1%,1502,62.4%,2572,65.9%,4074,64.6%,5107,52.9%,11.7pp
Blossom Prancer,G,U,27651,2.80,12705,3.08,71148,58.7%,11821,62.6%,20103,65.6%,31924,64.5%,39633,54.1%,10.4pp
Kappa Tech-Wrecker,G,U,28336,2.87,12612,3.16,70171,59.0%,12616,66.3%,18971,62.9%,31587,64.3%,39040,54.8%,9.5pp
The Kami War,WUBRG,M,4442,2.75,1714,2.78,5715,54.8%,982,60.2%,1924,65.8%,2906,63.9%,2818,45.5%,18.4pp
"Ao, the Dawn Sky",W,M,1990,1.13,1716,1.12,9247,57.3%,1617,62.4%,2585,64.7%,4202,63.8%,5092,51.9%,11.9pp
Life of Toshiro Umezawa,B,U,38390,2.80,16816,3.12,91760,59.0%,16306,64.6%,25035,63.1%,41341,63.7%,50827,55.3%,8.4pp
Reckoner Bankbuster,,R,3955,1.20,3404,1.19,20284,58.1%,3738,63.7%,5524,63.5%,9262,63.6%,11050,53.6%,10.0pp
"Kura, the Boundless Sky",G,M,2064,1.25,1707,1.25,9095,57.7%,1527,61.6%,2527,64.5%,4054,63.4%,5081,53.2%,10.2pp
The Reality Chip,U,R,5591,1.70,3823,1.68,20299,57.7%,3558,61.4%,5963,64.4%,9521,63.3%,10844,52.8%,10.5pp
"Tameshi, Reality Architect",WU,R,6339,1.96,3768,1.91,18465,57.2%,3164,58.2%,5592,65.9%,8756,63.1%,9772,51.8%,11.3pp
Boseiju Reaches Skyward,G,U,38185,2.89,15711,3.17,86360,58.2%,14894,62.7%,25362,63.3%,40256,63.0%,46473,54.1%,9.0pp
The Restoration of Eiganjo,W,R,4902,1.51,3273,1.46,17343,57.9%,3141,64.9%,4914,61.7%,8055,63.0%,9331,53.5%,9.5pp
Kami of Transience,G,R,5431,1.66,3456,1.63,19464,58.7%,3493,66.9%,5171,60.1%,8664,62.8%,11015,55.3%,7.5pp
Kaito Shizuki,UB,M,2200,1.34,1566,1.30,7082,57.6%,1197,65.6%,2035,61.1%,3232,62.8%,3862,53.2%,9.5pp
Biting-Palm Ninja,B,R,5116,1.57,3495,1.56,19011,58.0%,3309,64.6%,5106,61.5%,8415,62.7%,10676,54.4%,8.3pp
"Kairi, the Swirling Sky",U,M,2146,1.26,1764,1.23,9051,55.9%,1491,59.6%,2762,64.4%,4253,62.7%,4818,49.8%,12.9pp
Teachings of the Kirin,G,R,7567,2.34,3392,2.41,17282,57.9%,3088,65.8%,4728,60.6%,7816,62.7%,9498,54.1%,8.6pp
Behold the Unspeakable,U,U,33695,2.60,16427,2.78,84770,57.6%,14272,59.5%,26904,64.2%,41176,62.5%,44155,53.1%,9.4pp
"Shigeki, Jukai Visionary",G,R,6505,1.94,3835,1.94,19899,57.0%,3636,60.8%,6033,62.7%,9669,62.0%,10733,53.2%,8.8pp
"Kyodai, Soul of Kamigawa",WUBRG,R,4653,1.41,3270,1.39,17491,56.5%,3015,59.4%,4913,63.0%,7928,61.6%,9604,52.3%,9.3pp
Surgehacker Mech,,R,4989,1.50,3177,1.47,16575,56.8%,2684,60.5%,4408,62.0%,7092,61.4%,9513,53.4%,8.0pp
Imperial Oath,W,C,142021,6.53,28770,8.35,101165,57.5%,16199,58.2%,29134,63.0%,45333,61.3%,56305,54.4%,6.8pp
Okiba Reckoner Raid,B,C,111404,4.19,34481,4.93,176785,58.7%,32329,63.7%,47673,59.1%,80002,61.0%,98144,57.0%,4.0pp
Blade of the Oni,B,M,2200,1.28,1766,1.27,9451,57.7%,1765,60.0%,2515,61.6%,4280,60.9%,5220,55.1%,5.9pp
Jukai Naturalist,WG,U,38476,4.04,9263,4.93,42861,57.6%,7603,62.8%,11714,59.7%,19317,60.9%,23756,54.9%,6.0pp
Spring-Leaf Avenger,G,R,5146,1.55,3591,1.52,19323,56.8%,3232,59.0%,5413,61.7%,8645,60.7%,10747,53.7%,7.0pp
Circuit Mender,,U,27916,2.64,11497,3.14,67516,57.7%,12247,60.1%,18606,60.9%,30853,60.6%,37074,55.3%,5.3pp
Generous Visitor,G,U,29069,2.99,11169,3.37,60885,57.6%,10920,64.6%,15840,57.6%,26760,60.4%,34417,55.4%,5.0pp
Soul Transfer,B,R,5433,1.65,3464,1.63,18333,57.1%,3155,56.7%,4943,62.7%,8098,60.4%,10260,54.6%,5.8pp
The Long Reach of Night,B,U,41693,3.07,14228,3.48,72880,57.1%,12276,58.9%,20562,61.2%,32838,60.4%,40352,54.6%,5.8pp
Thundering Raiju,R,R,5271,1.60,3124,1.54,15421,55.7%,2665,60.3%,3809,60.4%,6474,60.3%,8989,52.5%,7.8pp
Michiko's Reign of Truth,W,U,38581,2.84,12926,3.29,68596,56.8%,11858,57.9%,19409,61.8%,31267,60.3%,37566,53.9%,6.4pp
"Atsushi, the Blazing Sky",R,M,2122,1.30,1572,1.26,7476,55.6%,1327,60.1%,1933,60.4%,3260,60.2%,4242,52.0%,8.2pp
Spirited Companion,W,C,102271,3.99,25016,5.12,127285,57.3%,23438,60.1%,36436,60.2%,59874,60.2%,68616,54.9%,5.3pp
Weaver of Harmony,G,R,5672,1.73,3423,1.71,18648,56.8%,3385,59.7%,5130,60.3%,8515,60.1%,10218,54.1%,6.0pp
Twinshot Sniper,R,U,25834,2.61,10935,2.94,56722,56.3%,9843,59.3%,14463,60.5%,24306,60.0%,32639,53.5%,6.5pp
Oni-Cult Anvil,BR,U,43115,4.65,10510,5.52,41257,57.3%,7271,59.6%,9999,60.3%,17270,60.0%,24131,55.4%,4.6pp
Silver-Fur Master,UB,U,37632,4.10,8310,4.99,35314,57.8%,6183,60.2%,10344,59.8%,16527,59.9%,19030,56.0%,4.0pp
Touch the Spirit Realm,W,U,23903,2.39,9078,2.78,48495,56.8%,8406,56.7%,13861,61.7%,22267,59.8%,26346,54.2%,5.6pp
Virus Beetle,B,C,113981,4.54,29055,5.78,149147,57.8%,26970,61.1%,39654,58.9%,66624,59.8%,83788,56.3%,3.5pp
"Tamiyo, Compleated Sage",UG,M,2066,1.26,1641,1.23,7859,53.8%,1338,54.7%,2305,62.4%,3643,59.6%,4236,48.9%,10.7pp
Twisted Embrace,B,C,71749,2.96,25058,3.56,133479,57.3%,22282,57.1%,39097,60.9%,61379,59.5%,72876,55.4%,4.2pp
The Modern Age,U,C,127571,4.84,30245,6.08,135293,57.0%,24915,59.6%,40571,59.5%,65486,59.5%,71057,54.7%,4.8pp
Spinning Wheel Kick,G,U,43257,4.41,10169,5.48,46991,57.1%,7244,54.5%,12558,62.3%,19802,59.5%,27244,55.4%,4.1pp
"Jin-Gitaxias, Progress Tyrant",U,M,2106,1.26,1597,1.23,7506,54.8%,1235,56.8%,2275,60.8%,3510,59.4%,4013,50.7%,8.7pp
Banishing Slash,W,U,28006,2.81,8118,3.34,40835,56.2%,6797,57.1%,11284,60.5%,18081,59.2%,22861,53.8%,5.4pp
Invoke Despair,B,R,9204,2.71,2974,2.91,11608,56.6%,1855,56.9%,3151,60.5%,5006,59.2%,6609,54.7%,4.5pp
"Raiyuu, Storm's Edge",WR,R,7782,2.53,2313,2.53,8727,54.3%,1500,59.1%,2125,59.2%,3625,59.1%,5117,50.9%,8.3pp
Azusa's Many Journeys,G,U,58454,4.22,13670,5.39,66977,57.0%,12041,62.2%,17778,57.1%,29819,59.1%,37501,55.4%,3.7pp
"Kotose, the Silent Spider",UB,R,7284,2.25,3331,2.29,14941,55.8%,2436,55.2%,4499,61.2%,6935,59.1%,8074,53.0%,6.0pp
Gloomshrieker,BG,U,39431,4.04,12461,4.67,56023,56.4%,9548,55.2%,16097,61.4%,25645,59.1%,30834,54.5%,4.6pp
Enthusiastic Mechanaut,UR,U,49717,5.58,8911,7.18,27276,55.1%,4750,61.4%,7640,57.6%,12390,59.0%,15113,52.1%,7.0pp
Mindlink Mech,U,R,6057,1.87,3086,1.84,15136,55.8%,2529,58.7%,4499,59.2%,7028,59.0%,8142,53.1%,6.0pp
Kumano Faces Kakkazan,R,U,59794,4.40,12024,5.67,53676,56.8%,9576,65.1%,12328,54.3%,21904,59.0%,31950,55.3%,3.7pp
Network Disruptor,U,C,120272,5.07,27530,6.41,126960,56.5%,22740,59.6%,38135,58.6%,60875,59.0%,67990,54.7%,4.2pp
Tribute to Horobi,B,R,5823,1.74,3650,1.75,19048,56.4%,3460,63.6%,5006,55.7%,8466,58.9%,10636,54.5%,4.5pp
March of Wretched Sorrow,B,R,6064,1.84,3559,1.84,18628,56.7%,3136,56.5%,4969,60.5%,8105,58.9%,10541,55.1%,3.8pp
Moon-Circuit Hacker,U,C,112078,4.61,24807,5.99,118087,57.0%,21485,58.5%,35265,59.1%,56750,58.9%,62506,55.5%,3.3pp
Colossal Skyturtle,UG,U,39302,4.07,11291,4.86,50164,55.6%,8304,54.0%,15990,61.3%,24294,58.8%,26497,52.8%,6.0pp
Suit Up,U,C,155150,8.13,20380,11.39,30136,57.0%,4876,55.5%,9035,60.6%,13911,58.8%,16324,55.5%,3.4pp
Nezumi Prowler,B,U,32913,3.20,9319,4.00,49835,56.7%,8902,56.6%,13234,60.1%,22136,58.7%,28002,55.2%,3.5pp
Gravelighter,B,U,33809,3.29,9042,4.16,46240,57.1%,7952,57.0%,12398,59.8%,20350,58.7%,26173,55.9%,2.8pp
Patchwork Automaton,,U,31505,3.01,8224,3.68,42048,55.5%,7839,62.8%,10677,55.4%,18516,58.5%,23679,53.2%,5.3pp
Dockside Chef,B,U,39187,3.82,10717,4.78,51132,57.0%,9254,59.7%,13370,57.7%,22624,58.5%,28771,56.0%,2.5pp
"Boseiju, Who Endures",G,R,6697,2.04,3279,2.11,15986,56.1%,2856,55.8%,4510,60.1%,7366,58.4%,8821,54.5%,3.9pp
Invoke the Winds,U,R,8616,2.58,3243,2.66,13359,55.1%,2130,53.3%,4191,61.0%,6321,58.4%,7056,52.3%,6.1pp
Lion Sash,W,R,4855,1.49,3173,1.46,16040,56.0%,2912,56.5%,4351,59.5%,7263,58.3%,8836,54.1%,4.2pp
Fang of Shigeki,G,C,120360,4.93,26951,6.49,140473,56.9%,25301,58.9%,38340,57.9%,63641,58.3%,78017,56.0%,2.3pp
Selfless Samurai,W,U,33171,3.22,7829,4.02,38161,55.5%,6774,58.5%,9831,58.1%,16605,58.3%,21734,53.4%,4.9pp
Satoru Umezawa,UB,R,6938,2.22,2905,2.20,12237,55.7%,2068,57.8%,3628,58.5%,5696,58.3%,6624,53.6%,4.7pp
Invoke Justice,W,R,8759,2.66,2453,2.92,8999,54.5%,1418,56.8%,2426,59.1%,3844,58.2%,5164,51.7%,6.5pp
Assassin's Ink,B,U,21845,2.29,9515,2.58,51208,56.5%,8478,55.9%,13631,59.6%,22109,58.2%,29183,55.2%,3.0pp
Moonsnare Specialist,U,C,107639,4.37,27088,5.57,131663,56.5%,22531,55.0%,40574,59.9%,63105,58.2%,69921,55.2%,3.0pp
Prosperous Thief,U,U,35061,3.51,8788,4.42,42894,55.6%,7544,58.1%,12474,58.1%,20018,58.1%,23059,53.5%,4.6pp
Tamiyo's Safekeeping,G,C,150750,7.53,21007,10.68,46337,56.4%,7295,56.7%,12176,58.9%,19471,58.1%,26931,55.1%,2.9pp
Tales of Master Seshiro,G,C,119433,4.51,27380,5.81,138160,56.2%,22445,55.9%,39347,59.3%,61792,58.1%,76959,54.7%,3.4pp
Roadside Reliquary,,U,54627,5.16,8839,7.37,38004,56.6%,6411,56.4%,10274,59.0%,16685,58.0%,21497,55.6%,2.4pp
Master's Rebuke,G,C,108722,4.39,25115,5.76,128192,56.7%,21327,55.6%,33669,59.6%,54996,58.0%,73607,55.8%,2.3pp
The Fall of Lord Konda,W,U,45427,3.29,11713,4.05,56142,55.8%,9259,55.3%,15685,59.6%,24944,58.0%,31359,54.0%,4.0pp
Jukai Preserver,G,C,116991,4.71,26999,6.18,139260,56.7%,23783,56.4%,38666,59.0%,62449,58.0%,77753,55.7%,2.3pp
Harmonious Emergence,G,C,147664,7.21,22695,10.01,56623,56.3%,9226,55.7%,16240,59.2%,25466,58.0%,31435,55.0%,3.0pp
Kami of Terrible Secrets,B,C,139814,6.03,25179,8.30,86107,57.0%,14186,55.7%,24127,59.3%,38313,58.0%,48333,56.2%,1.7pp
"Hidetsugu, Devouring Chaos",BR,R,5120,1.62,3381,1.59,17353,55.3%,2902,55.5%,4518,59.4%,7420,57.9%,9990,53.5%,4.4pp
Kodama of the West Tree,G,M,2377,1.45,1534,1.42,7640,55.1%,1375,58.0%,2054,57.7%,3429,57.8%,4241,53.0%,4.8pp
Bamboo Grove Archer,G,C,137132,5.99,22890,8.38,91199,56.2%,16160,56.8%,24958,58.3%,41118,57.7%,50618,55.0%,2.7pp
"Goro-Goro, Disciple of Ryusei",R,R,5360,1.68,2898,1.64,14514,54.9%,2517,58.1%,3431,57.3%,5948,57.6%,8594,52.9%,4.7pp
Prodigy's Prototype,WU,U,44888,4.81,6434,6.59,18999,54.0%,3172,58.1%,5751,57.4%,8923,57.6%,10156,50.8%,6.8pp
March of Otherworldly Light,W,R,6592,1.95,3029,2.00,14975,55.5%,2489,54.3%,4065,59.6%,6554,57.6%,8436,53.8%,3.8pp
Mukotai Ambusher,B,C,123078,5.01,21324,7.06,95396,56.6%,16179,56.5%,25778,58.3%,41957,57.6%,53910,55.9%,1.7pp
"Eiganjo, Seat of the Empire",W,R,6505,1.95,2864,2.06,13769,55.8%,2526,55.5%,3727,59.0%,6253,57.6%,7570,54.4%,3.2pp
"Tezzeret, Betrayer of Flesh",U,M,2159,1.28,1505,1.22,6679,53.9%,1155,55.8%,1904,58.7%,3059,57.6%,3624,50.9%,6.7pp
Cloudsteel Kirin,W,R,5055,1.54,2980,1.54,15142,54.5%,2654,54.4%,4175,59.6%,6829,57.6%,8354,52.0%,5.6pp
Clawing Torment,B,C,142891,6.58,19509,9.51,51061,57.0%,8765,55.7%,13678,58.7%,22443,57.5%,28810,56.6%,0.9pp
Fade into Antiquity,G,C,132744,5.90,28008,7.73,124643,56.2%,20948,54.7%,32956,59.2%,53904,57.4%,71030,55.2%,2.2pp
Searchlight Companion,,C,136840,5.46,25155,7.66,108596,56.8%,19238,56.2%,30050,58.2%,49288,57.4%,60238,56.3%,1.1pp
Dokuchi Shadow-Walker,B,C,137640,6.10,20481,8.72,69160,56.3%,11105,55.7%,18993,58.2%,30098,57.3%,39364,55.6%,1.6pp
Season of Renewal,G,C,145472,6.84,28682,8.97,112166,56.6%,17725,52.9%,30177,59.8%,47902,57.2%,64630,56.1%,1.1pp
Kami's Flare,R,C,88088,3.59,22039,4.49,112034,55.7%,19709,56.2%,27320,57.7%,47029,57.1%,65602,54.7%,2.3pp
Lethal Exploit,B,C,112421,4.55,24051,6.09,113593,56.5%,19662,55.6%,29882,58.0%,49544,57.0%,64452,56.1%,1.0pp
Leech Gauntlet,B,U,33622,3.25,9370,4.06,47739,56.1%,8672,57.6%,12368,56.6%,21040,57.0%,26906,55.4%,1.7pp
Geothermal Kami,G,C,137100,6.08,29094,7.88,120081,55.9%,19908,53.5%,33102,59.1%,53010,57.0%,67726,55.1%,1.9pp
Go-Shintai of Shared Purpose,W,U,30411,3.05,7339,3.79,32581,54.5%,5541,54.0%,9861,58.7%,15402,57.0%,17283,52.4%,4.6pp
Inkrise Infiltrator,B,C,132612,5.69,20166,8.14,80657,56.3%,14300,56.0%,21318,57.7%,35618,57.0%,45777,55.9%,1.1pp
Era of Enlightenment,W,C,128706,4.75,22241,6.49,99017,55.8%,18009,57.4%,26980,56.6%,44989,56.9%,54513,54.9%,2.0pp
Thornwood Falls,UG,B,54794,6.96,11178,9.28,37258,55.7%,6840,57.9%,10365,56.2%,17205,56.9%,20111,54.7%,2.2pp
Lizard Blades,R,R,5407,1.66,2933,1.67,14791,54.4%,2685,56.6%,3698,57.0%,6383,56.9%,8443,52.6%,4.2pp
High-Speed Hoverbike,,U,37737,3.44,8333,4.57,40189,55.6%,7109,54.7%,10624,58.3%,17733,56.8%,22634,54.6%,2.2pp
Experimental Synthesizer,R,C,139109,6.26,24936,8.26,93948,56.0%,16517,55.5%,22850,57.8%,39367,56.8%,54956,55.4%,1.4pp
Commune with Spirits,G,C,151366,7.68,27652,10.06,84899,56.7%,15325,55.8%,22079,57.5%,37404,56.8%,47728,56.6%,0.2pp
Dismal Backwater,UB,B,52615,6.34,10043,8.64,38366,56.0%,7014,57.7%,10609,56.1%,17623,56.7%,20799,55.3%,1.4pp
Seismic Wave,R,U,38805,3.88,8733,4.84,39167,55.3%,6534,54.8%,9512,58.1%,16046,56.7%,23168,54.4%,2.3pp
Eater of Virtue,,R,4204,1.30,3292,1.29,18998,55.4%,3292,57.2%,5070,56.3%,8362,56.7%,10644,54.4%,2.3pp
Tamiyo's Compleation,U,C,114204,4.67,22817,6.33,105227,55.2%,17399,53.0%,33096,58.6%,50495,56.7%,55270,53.9%,2.7pp
Sokenzan Smelter,R,U,44474,4.55,9575,5.74,41571,55.9%,7373,58.0%,9848,55.6%,17221,56.7%,24475,55.4%,1.2pp
Brilliant Restoration,W,R,11463,3.35,2565,3.99,8494,54.3%,1239,52.5%,2401,58.6%,3640,56.6%,4862,52.7%,3.8pp
Golden-Tail Disciple,W,C,130831,5.42,18920,7.80,78606,55.9%,13811,55.6%,21297,57.1%,35108,56.5%,43885,55.4%,1.1pp
Thousand-Faced Shadow,U,R,6212,1.95,3089,1.97,14478,55.1%,2538,55.8%,4412,56.9%,6950,56.5%,7668,54.0%,2.5pp
Blossoming Sands,WG,B,53563,6.60,10055,8.90,39694,56.2%,7354,59.2%,10156,54.5%,17510,56.5%,22220,56.0%,0.5pp
Rabbit Battery,R,U,36547,3.60,9155,4.45,46424,55.4%,8211,59.0%,10958,54.4%,19169,56.4%,27409,54.8%,1.6pp
"Otawara, Soaring City",U,R,8463,2.46,3053,2.70,13961,55.1%,2451,54.4%,4112,57.6%,6563,56.4%,7434,54.0%,2.4pp
Tranquil Cove,WU,B,53924,6.82,9490,9.32,30164,55.1%,5462,56.4%,8313,56.3%,13775,56.3%,16428,54.2%,2.2pp
Ogre-Head Helm,R,R,6508,1.93,3177,1.94,15865,55.0%,2828,56.9%,3875,55.8%,6703,56.3%,9194,54.0%,2.2pp
Voltage Surge,R,C,109184,4.54,23020,5.87,108630,55.6%,19232,55.7%,26495,56.6%,45727,56.3%,63483,55.1%,1.2pp
"Takenuma, Abandoned Mire",B,R,9398,2.62,3175,2.97,15409,56.6%,2667,55.2%,4137,56.9%,6804,56.2%,8633,56.9%,-0.6pp
Mukotai Soulripper,B,R,6960,2.16,2659,2.24,12182,55.2%,2052,58.6%,3142,54.6%,5194,56.2%,7009,54.6%,1.6pp
Go-Shintai of Boundless Vigor,G,U,29840,3.03,8643,3.71,43633,54.7%,7932,55.6%,12301,56.5%,20233,56.2%,23580,53.5%,2.7pp
Intercessor's Arrest,W,C,85427,3.34,19637,4.37,100661,55.0%,17131,53.1%,29475,57.8%,46606,56.1%,54507,54.2%,1.9pp
Jukai Trainee,G,C,142945,6.55,22988,9.07,79624,55.5%,14519,56.8%,19998,55.6%,34517,56.1%,45599,55.1%,0.9pp
Repel the Vile,W,C,130504,5.53,15156,8.32,49072,54.6%,7940,53.5%,13177,57.6%,21117,56.0%,28035,53.5%,2.5pp
Jungle Hollow,BG,B,54289,6.78,11389,9.01,40762,55.9%,7477,56.7%,10496,55.4%,17973,56.0%,22833,55.8%,0.1pp
Boon of Boseiju,G,U,59306,6.56,7627,9.68,12322,53.9%,1879,52.8%,3081,57.9%,4960,55.9%,7374,52.5%,3.4pp
Bearer of Memory,G,C,143900,6.51,21432,9.33,73446,55.8%,12691,53.9%,19471,57.2%,32162,55.9%,41641,55.7%,0.2pp
